"","LATITUDE","LONGITUDE"
"333690",40.80765,-73.939255
"333701",40.76344,-73.994705
"333702",40.828606,-73.93803
"333710",40.851555,-73.952446
"333720",40.74542,-73.989075
"333734",40.770313,-73.99141
"333754",40.847248,-73.93687
"333769",40.762825,-73.97157
"333793",40.727486,-73.98318
"333795",40.74652,-73.99019
"333802",40.751923,-73.98308
"333808",40.752853,-73.99299
"333824",40.823368,-73.93919
"333836",40.77529,-73.953636
"333841",40.786366,-73.97598
"333846",40.74756,-74.00786
"333847",40.722214,-73.9833
"333858",40.720844,-73.99565
"333859",40.751617,-73.98048
"333860",40.793488,-73.94328
"333866",40.746536,-73.985954
"333867",40.77882,-73.953995
"333872",40.757736,-73.97727
"333892",40.722717,-74.004456
"333902",40.758915,-73.9997
"333915",40.740368,-73.98476
"333916",40.781483,-73.95626
"333932",40.75478,-73.97994
"333968",40.753117,-73.96822
"333975",40.745686,-73.97213
"334003",40.762623,-73.983
"334009",40.756916,-73.985985
"334020",40.74798,-73.9776
"334044",40.7171,-73.9986
"334046",40.758488,-73.97514
"334048",40.715282,-73.99252
"334052",40.80916,-73.94875
"334065",40.743225,-74.008644
"334066",40.754826,-73.982025
"334073",40.848175,-73.93086
"334078",40.75112,-73.97127
"334082",40.723305,-74.00299
"334083",40.75064,-73.981995
"334084",40.782055,-73.95373
"334105",40.83569,-73.9459
"334107",40.759308,-73.9653
"334110",40.729794,-73.974785
"334123",40.769222,-73.967316
"334129",40.748825,-73.96984
"334130",40.783897,-73.97407
"334131",40.721233,-73.98778
"334136",40.73602,-73.98228
"334147",40.783245,-73.94473
"334151",40.83248,-73.94085
"334164",40.749603,-73.97951
"334168",40.7997,-73.97193
"334195",40.844788,-73.93705
"334211",40.744934,-73.9956
"334222",40.7499,-73.99585
"334231",40.72271,-73.995964
"334232",40.75433,-73.99263
"334239",40.758636,-73.97715
"334247",40.8002,-73.96216
"334248",40.784355,-73.98117
"334268",40.761856,-73.96343
"334284",40.799915,-73.96238
"334298",40.744015,-74.00851
"334317",40.80603,-73.941376
"334334",40.730103,-73.98657
"334348",40.731216,-73.98224
"334368",40.74623,-73.98909
"334369",40.85729,-73.928055
"334375",40.71954,-74.00211
"334378",40.86139,-73.919495
"334394",40.702957,-74.01151
"334399",40.716976,-73.98229
"334400",40.769848,-73.98432
"334401",40.774227,-73.98112
"334411",40.750763,-73.97446
"334430",40.763824,-73.9924
"334434",40.839172,-73.943474
"334465",40.77496,-73.9589
"334472",40.74453,-73.98888
"334473",40.73539,-73.988075
"334474",40.759983,-73.97678
"334475",40.757477,-73.982185
"334491",40.739494,-73.97663
"334503",40.74147,-73.985435
"334551",40.748623,-73.99237
"334552",40.78169,-73.94897
"334566",40.749706,-73.99157
"334567",40.717648,-73.98868
"334568",40.717052,-73.99961
"334569",40.781136,-73.98129
"334576",40.76031,-73.9717
"334577",40.818077,-73.94044
"334578",40.762913,-73.96981
"334583",40.76023,-73.961525
"334588",40.74885,-73.98158
"334589",40.79558,-73.93444
"334603",40.720707,-73.981316
"334604",40.77593,-73.94713
"334607",40.823128,-73.94173
"334615",40.710327,-74.00955
"334616",40.79147,-73.97411
"334638",40.76285,-73.967735
"334650",40.71569,-73.99753
"334654",40.71829,-73.987434
"334659",40.74741,-73.98609
"334696",40.76522,-73.97655
"334703",40.74915,-73.98828
"334712",40.75355,-73.98505
"334724",40.75786,-73.9756
"334748",40.754154,-73.9804
"334787",40.80535,-73.95096
"334796",40.756622,-73.98628
"334800",40.719482,-73.991295
"334804",40.75409,-73.976395
"334816",40.718006,-73.9866
"334826",40.86258,-73.925385
"334827",40.71377,-73.993515
"334832",40.818462,-73.93941
"334841",40.7103,-74.00106
"334847",40.796,-73.93542
"334861",40.715816,-74.00988
"334882",40.815975,-73.94322
"334896",40.794132,-73.94281
"334909",40.82394,-73.94856
"334918",40.721798,-73.991974
"334924",40.866333,-73.92501
"334928",40.763573,-73.99109
"334937",40.759876,-73.987854
"334945",40.802597,-73.94506
"334947",40.725002,-73.99231
"334963",40.75317,-73.97269
"334972",40.75802,-73.98574
"334976",40.74033,-73.98626
"334977",40.82175,-73.941414
"334982",40.750206,-74.00234
"334986",40.76359,-73.98144
"334991",40.853836,-73.930885
"335013",40.719048,-73.99648
"335030",40.87122,-73.91416
"335040",40.824905,-73.94686
"335041",40.854332,-73.93209
"335047",40.77362,-73.94573
"335052",40.753918,-73.99964
"335059",40.726406,-73.98618
"335060",40.759136,-73.9825
"335061",40.757656,-73.9868
"335081",40.715508,-74.00125
"335096",40.72573,-73.98831
"335097",40.867207,-73.92254
"335102",40.752693,-73.97305
"335114",40.753613,-73.992424
"335128",40.74044,-74.00203
"335147",40.760418,-73.97584
"335151",40.748863,-73.97584
"335152",40.790417,-73.95184
"335168",40.76768,-73.98216
"335178",40.802753,-73.93358
"335187",40.79573,-73.93267
"335190",40.723286,-73.99291
"335192",40.752796,-73.98323
"335193",40.76728,-73.99211
"335201",40.743416,-73.9891
"335206",40.72208,-73.979675
"335213",40.758003,-73.98925
"335222",40.80293,-73.96759
"335227",40.752598,-73.96702
"335228",40.77721,-73.98045
"335237",40.718853,-74.00485
"335238",40.75997,-73.98408
"335243",40.780174,-73.95932
"335246",40.754684,-73.984245
"335272",40.778606,-73.98163
"335295",40.755802,-73.986404
"335307",40.75603,-73.98483
"335316",40.714676,-74.0059
"335317",40.78316,-73.98048
"335337",40.72218,-74.00066
"335345",40.766277,-73.97769
"335348",40.762177,-73.96613
"335353",40.759514,-73.99926
"335381",40.83499,-73.946754
"335398",40.79172,-73.95299
"335403",40.761234,-73.96389
"335404",40.794052,-73.970375
"335405",40.793324,-73.974625
"335434",40.764996,-73.976715
"335437",40.756565,-73.99028
"335480",40.72132,-74.008354
"335492",40.7247,-74.00932
"335501",40.721447,-73.997406
"335507",40.771107,-73.961716
"335519",40.751755,-74.002144
"335523",40.76729,-73.96661
"335529",40.81213,-73.93808
"335534",40.740395,-73.97909
"335543",40.76019,-73.977234
"335562",40.81938,-73.95934
"335563",40.74115,-73.98354
"335564",40.76816,-73.982475
"335584",40.804375,-73.93742
"335594",40.714165,-74.00632
"335599",40.81701,-73.9595
"335615",40.71913,-74.00875
"335621",40.76609,-73.96959
"335632",40.727753,-73.99114
"335633",40.809715,-73.935684
"335644",40.815685,-73.9583
"335653",40.806705,-73.96486
"335673",40.813374,-73.956276
"335685",40.840965,-73.939514
"335687",40.813915,-73.93477
"335688",40.7367,-73.974464
"335711",40.80908,-73.9382
"335720",40.839867,-73.94064
"335734",40.76944,-73.951866
"335735",40.771023,-73.95365
"335739",40.71299,-74.00418
"335745",40.74956,-73.98516
"335747",40.72423,-73.990845
"335768",40.86074,-73.91987
"335782",40.866333,-73.92036
"335791",40.768436,-73.96156
"335798",40.723816,-73.996826
"335800",40.760937,-73.971245
"335810",40.786808,-73.94524
"335812",40.73917,-73.99131
"335813",40.74028,-73.984505
"335819",40.77246,-73.96705
"335829",40.803745,-73.955864
"335837",40.759983,-73.97867
"335849",40.71741,-74.00344
"335851",40.762737,-73.9597
"335857",40.72131,-73.99471
"335892",40.721462,-74.009926
"335893",40.75462,-73.97374
"335894",40.866608,-73.92105
"335910",40.779583,-73.961845
"335924",40.75189,-73.97997
"335956",40.790813,-73.976456
"335970",40.760773,-73.984474
"335976",40.82689,-73.94755
"335977",40.84077,-73.93625
"335986",40.78832,-73.941025
"335987",40.793816,-73.94012
"335994",40.74564,-73.993385
"335996",40.769794,-73.96479
"336017",40.75172,-73.98072
"336028",40.850544,-73.937065
"336037",40.804714,-73.93719
"336044",40.809605,-73.94981
"336049",40.749825,-73.972206
"336050",40.79512,-73.96405
"336051",40.86743,-73.92193
"336056",40.72435,-73.984764
"336059",40.82198,-73.93987
"336063",40.71359,-73.995895
"336084",40.771385,-73.95648
"336087",40.74954,-73.97744
"336093",40.719517,-73.994385
"336106",40.798126,-73.94832
"336113",40.770752,-73.95695
"336164",40.72606,-73.99623
"336165",40.756805,-73.978455
"336166",40.764114,-73.97448
"336180",40.758247,-73.97533
"336187",40.74725,-73.98544
"336203",40.823257,-73.94293
"336213",40.78085,-73.96093
